""	"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"58"	"Circadian rhythm"	9	0.059851	0.4611	0.88954	-0.059851	0.5389	1	-7.7474	0.36336	0.72932	3	-1.3311	0.12365	0.45182	6	-8.5474	0.66329	0.99976
"59"	"Citrate cycle (TCA cycle)"	29	-0.15232	0.572	0.93559	0.15232	0.428	1	-8.7095	0.013266	0.18392	11	-7.5646	0.22448	0.57298	18	-5.1414	0.02318	0.3746
"60"	"Cocaine addiction"	10	0.50258	0.16768	0.62384	-0.50258	0.83232	1	-6.0919	0.15906	0.47563	6	-6.6626	0.3786	0.73853	4	-1.4721	0.10473	0.65465
"61"	"Collecting duct acid secretion"	11	-0.73154	0.93025	1	0.73154	0.069748	0.75043	-4.6943	0.064222	0.33772	3	-5.5464	0.51807	0.79128	8	-2.1081	0.047807	0.47473
"62"	"Colorectal cancer"	31	0.32403	0.26367	0.76187	-0.32403	0.73633	1	-20.269	0.84588	0.99992	16	-14.144	0.66092	0.87296	15	-14.53	0.82979	0.99976
"63"	"Complement and coagulation cascades"	38	2.3831	1.9668e-06	0.00048665	-2.3831	1	1	-14.465	0.11728	0.42745	34	-10.998	0.021113	0.24937	4	-12.521	0.97224	0.99976
"64"	"Cortisol synthesis and secretion"	9	0.58258	0.12358	0.54506	-0.58258	0.87642	1	-6.6469	0.25309	0.59505	6	-6.9856	0.41222	0.73853	3	-1.6336	0.15727	0.74577
"65"	"Cushing syndrome"	33	-0.31249	0.7341	0.99213	0.31249	0.2659	0.943	-18.824	0.65574	0.99337	18	-17.646	0.88444	0.98014	15	-8.5893	0.22266	0.78406
"66"	"Cysteine and methionine metabolism"	29	-0.29957	0.68216	0.99213	0.29957	0.31784	0.9733	-5.3605	0.00076735	0.05837	13	-2.836	0.0093121	0.20688	16	-4.6604	0.023304	0.3746
"67"	"Cytokine-cytokine receptor interaction"	3	0.21813	0.36462	0.85764	-0.21813	0.63538	1	-9.7916	0.88166	0.99992	3	-9.7916	0.89546	0.98191	0			
"68"	"Cytosolic DNA-sensing pathway"	11	0.27147	0.3015	0.80665	-0.27147	0.6985	1	-20.345	0.99833	0.99992	4	-8.4924	0.74097	0.88737	7	-19.084	0.99966	0.99976
"69"	"D-Glutamine and D-glutamate metabolism"	3	0.20673	0.37266	0.85764	-0.20673	0.62734	1	-6.3904	0.59074	0.9622	2	-6.1971	0.69147	0.87557	1	-2.3045	0.43657	0.93776
"70"	"DNA replication"	9	-0.51581	0.85752	1	0.51581	0.14248	0.83335	-13.003	0.87619	0.99992	6	-12.709	0.90753	0.98191	3	-4.5497	0.43539	0.93776
"71"	"Dilated cardiomyopathy (DCM)"	45	1.3521	0.0028263	0.057467	-1.3521	0.99717	1	-14.112	0.047382	0.29493	25	-6.6702	0.0049577	0.20688	20	-13.71	0.59946	0.99976
"72"	"Dopaminergic synapse"	46	0.10186	0.42258	0.88954	-0.10186	0.57742	1	-15.927	0.10904	0.41059	24	-11.869	0.18108	0.53531	22	-10.634	0.19956	0.78226
"73"	"Drug metabolism"	38	0.17856	0.36291	0.85764	-0.17856	0.63709	1	-13.994	0.093481	0.40403	22	-9.0165	0.04752	0.34702	16	-10.993	0.44463	0.93776
"74"	"ECM-receptor interaction"	38	0.13887	0.39206	0.85764	-0.13887	0.60794	1	-15.915	0.21591	0.54876	19	-7.3135	0.04099	0.32903	19	-15.194	0.78307	0.99976
"75"	"Endocrine and other factor-regulated calcium reabsorption"	21	0.14025	0.38201	0.85764	-0.14025	0.61799	1	-11.714	0.27738	0.62207	16	-13.529	0.59723	0.83276	5	0.19631	0.024698	0.3746
"76"	"Endocytosis"	125	1.0081	0.026035	0.23881	-1.0081	0.97397	1	-29.481	0.10643	0.41059	80	-24.331	0.14226	0.48592	45	-16.694	0.19268	0.78226
"77"	"Endometrial cancer"	20	0.27239	0.31218	0.82329	-0.27239	0.68782	1	-15.408	0.70057	0.99733	12	-11.501	0.57955	0.81191	8	-10.276	0.71904	0.99976
"78"	"Epithelial cell signaling in Helicobacter pylori infection"	30	-0.63601	0.88791	1	0.63601	0.11209	0.79024	-18.192	0.67689	0.99477	12	-17.107	0.96519	0.99785	18	-9.5183	0.21612	0.78406
"79"	"Epstein-Barr virus infection"	74	-1.8419	0.99988	1	1.8419	0.00011852	0.00723	-31.582	0.9403	0.99992	28	-23.454	0.97492	0.99785	46	-21.759	0.7499	0.99976
"80"	"ErbB signaling pathway"	39	-0.45102	0.80331	0.99933	0.45102	0.19669	0.93786	-21.29	0.75652	0.99992	17	-14.346	0.66078	0.87296	22	-15.736	0.73487	0.99976
"81"	"Estrogen signaling pathway"	34	0.55437	0.13891	0.58038	-0.55437	0.86109	1	-14.206	0.17494	0.49854	20	-11.146	0.22103	0.57298	14	-8.8161	0.2745	0.8504
"82"	"Ether lipid metabolism"	10	-0.6895	0.91057	1	0.6895	0.089426	0.7649	-14.159	0.9077	0.99992	2	-11.61	0.97762	0.99785	8	-10.026	0.69536	0.99976
"83"	"Fanconi anemia pathway"	5	-0.21616	0.63126	0.96973	0.21616	0.36874	1	-9.4902	0.77323	0.99992	3	-7.3548	0.71264	0.88737	2	-5.9976	0.72665	0.99976
"84"	"Fat digestion and absorption"	9	0.86525	0.041792	0.3009	-0.86525	0.95821	1	-5.4046	0.1537	0.4696	6	-3.2215	0.10755	0.44453	3	-4.8052	0.46462	0.93776
"85"	"Fatty acid biosynthesis"	7	0.063869	0.44395	0.88954	-0.063869	0.55605	1	-4.6776	0.17391	0.49854	3	-1.0844	0.10986	0.44453	4	-5.2488	0.43188	0.93776
"86"	"Fatty acid degradation"	32	1.8066	0.00016544	0.0084097	-1.8066	0.99983	1	-11.707	0.057055	0.31493	23	-5.4737	0.0034305	0.20377	9	-13.325	0.90802	0.99976
"87"	"Fatty acid elongation"	15	0.33244	0.25018	0.76187	-0.33244	0.74982	1	-7.1193	0.09773	0.40403	9	-2.4639	0.023815	0.25261	6	-8.239	0.63096	0.99976
"88"	"Fc epsilon RI signaling pathway"	27	-0.46942	0.82089	1	0.46942	0.17911	0.93786	-16.992	0.64271	0.98506	10	-12.257	0.72902	0.88737	17	-12.013	0.50421	0.97824
"89"	"Fc gamma R-mediated phagocytosis"	41	-0.045813	0.51344	0.89097	0.045813	0.48656	1	-16.614	0.20989	0.54283	22	-13.438	0.33632	0.70792	19	-9.9463	0.22764	0.78406
"90"	"Ferroptosis"	21	0.00077858	0.49107	0.89097	-0.00077858	0.50893	1	-5.773	0.011917	0.18392	11	-2.8669	0.017297	0.2335	10	-5.359	0.13199	0.68479
"91"	"Fluid shear stress and atherosclerosis"	58	0.9873	0.022377	0.22016	-0.9873	0.97762	1	-24.658	0.67504	0.99477	33	-15.003	0.20683	0.56357	25	-20.321	0.94845	0.99976
"92"	"Focal adhesion"	101	1.1083	0.013328	0.15812	-1.1083	0.98667	1	-25.774	0.10281	0.41059	51	-13.849	0.0090797	0.20688	50	-22.645	0.73333	0.99976
"93"	"Folate biosynthesis"	11	-0.75161	0.93545	1	0.75161	0.064551	0.72918	-4.0528	0.044296	0.29493	5	-5.0079	0.28248	0.6606	6	-0.91594	0.0416	0.47053
"94"	"FoxO signaling pathway"	42	0.32253	0.25859	0.76187	-0.32253	0.74141	1	-18.519	0.37892	0.73662	20	-10.522	0.17398	0.53531	22	-15.555	0.71749	0.99976
"95"	"Fructose and mannose metabolism"	21	-1.5779	0.9991	1	1.5779	0.00089783	0.03912	-5.8025	0.012177	0.18392	5	-6.4489	0.43575	0.75244	16	-3.0425	0.0068964	0.28965
"96"	"GABAergic synapse"	19	-0.15216	0.61488	0.9667	0.15216	0.38512	1	-10.696	0.24358	0.58243	10	-11.001	0.60159	0.83479	9	-3.9447	0.088754	0.64242
"97"	"Galactose metabolism"	15	-1.4752	0.99806	1	1.4752	0.0019397	0.060408	-3.7539	0.012874	0.18392	5	-4.1163	0.20284	0.56273	10	-1.6869	0.014929	0.3746
"98"	"Gap junction"	28	0.052667	0.44034	0.88954	-0.052667	0.55966	1	-13.992	0.28802	0.62747	15	-10.786	0.36339	0.72924	13	-8.9477	0.33785	0.88939
"99"	"Gastric acid secretion"	23	-0.83584	0.93912	1	0.83584	0.060884	0.72918	-7.2542	0.019288	0.23868	11	-7.3932	0.20994	0.56683	12	-2.9646	0.020779	0.3746
"100"	"Gastric cancer"	29	-0.033055	0.47797	0.88954	0.033055	0.52203	1	-24.111	0.98419	0.99992	17	-20.167	0.9808	0.99785	12	-13.478	0.82718	0.99976
"101"	"Glioma"	25	-0.35268	0.74402	0.99213	0.35268	0.25598	0.94152	-17.747	0.78777	0.99992	13	-14.014	0.78522	0.92187	12	-11.03	0.59826	0.99976
"102"	"Glucagon signaling pathway"	49	-1.0871	0.98049	1	1.0871	0.019505	0.4011	-17.466	0.13978	0.45743	20	-11.124	0.21922	0.57298	29	-13.466	0.28443	0.8504
"103"	"Glutamatergic synapse"	27	-0.15373	0.62011	0.96748	0.15373	0.37989	1	-11.71	0.13034	0.45176	14	-10.118	0.33847	0.70792	13	-6.3764	0.12253	0.67723
"104"	"Glutathione metabolism"	34	0.29881	0.28215	0.78424	-0.29881	0.71785	1	-9.6551	0.012962	0.18392	17	-5.0752	0.013117	0.20688	17	-8.5792	0.167	0.75009
"105"	"Glycerolipid metabolism"	20	0.71077	0.09244	0.49376	-0.71077	0.90756	1	-8.8644	0.096148	0.40403	12	-6.0007	0.083391	0.39947	8	-6.6664	0.33988	0.88939
"106"	"Glycerophospholipid metabolism"	29	-1.0677	0.97716	1	1.0677	0.022837	0.43532	-19.626	0.80984	0.99992	12	-15.709	0.92102	0.98191	17	-12.434	0.55182	0.99976
"107"	"Glycine, serine and threonine metabolism"	17	0.42022	0.17917	0.63542	-0.42022	0.82083	1	-7.0916	0.073385	0.36692	7	-0.14023	0.010427	0.20688	10	-9.129	0.48647	0.95988
"108"	"Glycolysis / Gluconeogenesis"	47	-2.1329	0.99998	1	2.1329	2.109e-05	0.0016081	-4.6725	2.7056e-06	0.00082521	16	-2.6126	0.0029754	0.20377	31	-3.8764	0.00020436	0.03004
"109"	"Glycosaminoglycan degradation"	5	1.1293	0.011804	0.15208	-1.1293	0.9882	1	-7.1392	0.54185	0.91746	5	-7.1392	0.51454	0.79128	0			
"110"	"Glycosphingolipid biosynthesis"	2	0.64485	0.10702	0.50174	-0.64485	0.89298	1	-0.55773	0.1498	0.4696	2	-0.55773	0.14234	0.48592	0			
"111"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	4	0.10593	0.39708	0.85894	-0.10593	0.60292	1	-8.8718	0.78239	0.99992	2	-6.0962	0.68151	0.87557	2	-6.4505	0.76785	0.99976
"112"	"Glyoxylate and dicarboxylate metabolism"	23	0.031118	0.45803	0.88954	-0.031118	0.54197	1	-5.9784	0.0077483	0.17422	12	-4.0401	0.025768	0.25984	11	-4.4251	0.064234	0.5104
"113"	"GnRH signaling pathway"	33	-0.42933	0.80005	0.99933	0.42933	0.19995	0.93786	-14.221	0.18841	0.52241	12	-8.8719	0.28905	0.67069	21	-11.121	0.27727	0.8504
"114"	"Graft-versus-host disease"	4	0.0098371	0.47531	0.88954	-0.0098371	0.52469	1	-8.8063	0.77687	0.99992	2	-6.2114	0.69287	0.87557	2	-6.2426	0.74938	0.99976
"115"	"HIF-1 signaling pathway"	51	-0.71746	0.92159	1	0.71746	0.078413	0.75043	-16.722	0.090116	0.40403	24	-13.391	0.31137	0.68663	27	-10.357	0.083391	0.62864
"116"	"Hedgehog signaling pathway"	9	-0.23621	0.69233	0.99213	0.23621	0.30767	0.97306	-13.005	0.87632	0.99992	1	-8.2095	0.92991	0.98191	8	-10.892	0.77316	0.99976
"117"	"Hematopoietic cell lineage"	14	0.96565	0.029015	0.24582	-0.96565	0.97098	1	-12.383	0.60914	0.96986	6	-3.3716	0.11525	0.44453	8	-13.461	0.9273	0.99976
"118"	"Hepatitis B"	53	0.10002	0.38994	0.85764	-0.10002	0.61006	1	-26.707	0.91363	0.99992	26	-18.436	0.73946	0.88737	27	-19.326	0.89057	0.99976
"119"	"Hepatitis C"	50	-0.26326	0.69053	0.99213	0.26326	0.30947	0.97306	-26.595	0.93585	0.99992	23	-16.88	0.69574	0.87557	27	-20.612	0.94565	0.99976
"120"	"Hepatocellular carcinoma"	43	0.10358	0.41642	0.88954	-0.10358	0.58358	1	-23.287	0.84677	0.99992	22	-14.22	0.41998	0.74429	21	-18.768	0.94811	0.99976
"121"	"Herpes simplex virus 1 infection"	59	1.0052	0.020885	0.21233	-1.0052	0.97911	1	-29.846	0.97137	0.99992	35	-16.744	0.31211	0.68663	24	-26.576	0.99976	0.99976
"122"	"Hippo signaling pathway"	34	-0.0032092	0.5099	0.89097	0.0032092	0.4901	1	-21.19	0.85284	0.99992	19	-17.453	0.86301	0.95997	15	-12.259	0.61677	0.99976
"123"	"Histidine metabolism"	10	0.74128	0.077009	0.42705	-0.74128	0.92299	1	0.73687	0.0015068	0.05837	6	0.46145	0.01269	0.20688	4	0.59993	0.032194	0.43022
"124"	"Homologous recombination"	8	-0.59381	0.87201	1	0.59381	0.12799	0.81328	-8.4396	0.49025	0.85752	5	-10.259	0.82442	0.9539	3	-0.53698	0.092954	0.64242
"125"	"Human T-cell leukemia virus 1 infection"	61	0.31877	0.26478	0.76187	-0.31877	0.73522	1	-27.363	0.86282	0.99992	30	-18.904	0.69553	0.87557	31	-19.787	0.86126	0.99976
"126"	"Human cytomegalovirus infection"	77	0.4351	0.20214	0.66142	-0.4351	0.79786	1	-32.004	0.93163	0.99992	43	-20.918	0.52623	0.79128	34	-24.638	0.98654	0.99976
"127"	"Human immunodeficiency virus 1 infection"	80	0.14901	0.37127	0.85764	-0.14901	0.62873	1	-30.272	0.84302	0.99992	41	-20.132	0.50954	0.79128	39	-22.715	0.89928	0.99976
"128"	"Human papillomavirus infection"	110	-0.77177	0.93637	1	0.77177	0.063632	0.72918	-40.515	0.9946	0.99992	53	-30.419	0.98762	0.99785	57	-26.95	0.93039	0.99976
"129"	"Huntington disease"	113	-0.31381	0.71708	0.99213	0.31381	0.28292	0.97306	-25.382	0.026679	0.25283	54	-21.116	0.30143	0.68339	59	-14.925	0.02114	0.3746
"130"	"Hypertrophic cardiomyopathy (HCM)"	48	1.257	0.0054167	0.097182	-1.257	0.99458	1	-16.24	0.08118	0.38687	25	-5.3932	0.0015797	0.20377	23	-17.837	0.87516	0.99976
"131"	"IL-17 signaling pathway"	25	0.87525	0.036678	0.28684	-0.87525	0.96332	1	-19.846	0.91921	0.99992	13	-10.899	0.4658	0.77896	12	-17.3	0.97866	0.99976
"132"	"Inflammatory bowel disease (IBD)"	8	0.16121	0.35497	0.85764	-0.16121	0.64503	1	-8.9718	0.54909	0.92018	5	-7.5762	0.56432	0.80193	3	-4.87	0.47207	0.93776
"133"	"Inflammatory mediator regulation of TRP channels"	29	-0.034572	0.47917	0.88954	0.034572	0.52083	1	-14.194	0.25363	0.59505	12	-8.2344	0.22975	0.57341	17	-11.62	0.45963	0.93776
"134"	"Influenza A"	56	-0.0063603	0.51683	0.89097	0.0063603	0.48317	1	-23.302	0.58006	0.95632	27	-15.146	0.36296	0.72924	29	-17.766	0.73478	0.99976
"135"	"Inositol phosphate metabolism"	24	-0.58373	0.87781	1	0.58373	0.12219	0.79292	-17.387	0.79135	0.99992	13	-15.658	0.89473	0.98191	11	-8.6612	0.39569	0.93776
"136"	"Insulin resistance"	53	0.84404	0.038947	0.29697	-0.84404	0.96105	1	-22.687	0.59136	0.9622	26	-8.9613	0.021831	0.24937	27	-22.992	0.9892	0.99976
