""	"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"12"	"Aldosterone-regulated sodium reabsorption"	16	0.034701	0.66149	1	-0.034701	0.33851	0.55211	-9.0869	0.63453	0.99996	5	1.3522	0.11954	0.72457	11	-11.871	0.86987	0.99999
"13"	"Allograft rejection"	4	-0.53278	0.72027	1	0.53278	0.27973	0.48702	-8.5357	0.85898	0.99996	1	-8.2095	0.93377	0.99293	3	-5.1164	0.62208	0.99999
"14"	"Alzheimer disease"	113	24.919	0	0	-24.919	1	1	20.101	0	0	90	23.44	0	0	23	-1.8128	0.025258	0.60672
"15"	"Amino sugar and nucleotide sugar metabolism"	27	-0.78431	0.85966	1	0.78431	0.14034	0.31043	-2.4945	0.036651	0.31939	13	-2.4199	0.19442	0.791	14	-1.1322	0.048936	0.60762
"16"	"Aminoacyl-tRNA biosynthesis"	21	8.7163	2.1832e-07	4.7562e-06	-8.7163	1	1	1.467	0.010577	0.13442	19	1.2464	0.020523	0.22575	2	0.91204	0.17704	0.85095
"17"	"Amoebiasis"	42	-2.6196	0.99097	1	2.6196	0.0090252	0.055054	-13.068	0.53271	0.99996	17	-11.472	0.8082	0.97645	25	-7.4777	0.22241	0.87028
"18"	"Amphetamine addiction"	20	-4.7877	0.9998	1	4.7877	0.00019595	0.0039842	-0.23046	0.02387	0.26002	5	-2.3907	0.36566	0.8629	15	1.1141	0.010709	0.35458
"19"	"Amyotrophic lateral sclerosis (ALS)"	21	-1.0919	0.88526	1	1.0919	0.11474	0.2731	-2.0644	0.066176	0.39251	9	-0.91197	0.16912	0.75461	12	-1.9412	0.089633	0.76298
"20"	"Antigen processing and presentation"	24	0.8113	0.50684	1	-0.8113	0.49316	0.7055	-6.9708	0.28353	0.82721	14	-3.7178	0.26434	0.86274	10	-6.4001	0.46804	0.99999
"21"	"Apelin signaling pathway"	54	0.87571	0.61282	1	-0.87571	0.38718	0.61056	-14.067	0.46013	0.98832	25	-2.9998	0.080831	0.61176	29	-16.41	0.89319	0.99999
"22"	"Apoptosis"	49	0.58411	0.68493	1	-0.58411	0.31507	0.52325	-18.086	0.86123	0.99996	20	-4.9757	0.23014	0.82447	29	-19.377	0.97493	0.99999
"23"	"Arachidonic acid metabolism"	15	0.63015	0.51668	1	-0.63015	0.48332	0.70196	-6.1074	0.37791	0.96037	7	-6.169	0.61294	0.95161	8	-2.5924	0.20452	0.87028
"24"	"Arginine and proline metabolism"	27	5.2633	0.0020525	0.022357	-5.2633	0.99795	1	-0.18455	0.0098719	0.13091	19	1.169	0.021407	0.22707	8	-2.1407	0.17537	0.85095
"25"	"Arginine biosynthesis"	11	5.0889	0.0011103	0.013545	-5.0889	0.99889	1	-0.59794	0.085387	0.4569	9	-0.25013	0.13484	0.75461	2	-0.87168	0.31086	0.94194
"26"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	36	-4.9984	0.99996	1	4.9984	4.0153e-05	0.0017495	-5.967	0.099435	0.50546	12	-5.6427	0.43407	0.86395	24	-3.3181	0.056436	0.61798
"27"	"Ascorbate and aldarate metabolism"	6	2.1383	0.14221	0.96387	-2.1383	0.85779	1	0.51921	0.11066	0.51925	5	-0.70311	0.23596	0.82447	1	2.844	0.11504	0.80884
"28"	"Asthma"	2	-0.16807	0.63137	1	0.16807	0.36863	0.59175	-6.4313	0.78321	0.99996	0				2	-6.4313	0.80431	0.99999
"29"	"Autoimmune thyroid disease"	4	-0.53278	0.72027	1	0.53278	0.27973	0.48702	-8.5357	0.85898	0.99996	1	-8.2095	0.93377	0.99293	3	-5.1164	0.62208	0.99999
"30"	"Autophagy"	56	-0.86829	0.92512	1	0.86829	0.074878	0.20762	-20.401	0.90482	0.99996	23	-10.258	0.64461	0.95161	33	-18.011	0.91913	0.99999
"31"	"Axon guidance"	55	-2.5947	0.99236	1	2.5947	0.0076399	0.047555	-17.538	0.75166	0.99996	21	-11.708	0.78037	0.96722	34	-13.105	0.58012	0.99999
"32"	"B cell receptor signaling pathway"	27	-3.8557	0.99898	1	3.8557	0.0010203	0.011114	-15.46	0.89275	0.99996	7	-11.247	0.91825	0.99293	20	-11.309	0.66727	0.99999
"33"	"Bacterial invasion of epithelial cells"	42	0.82748	0.55515	1	-0.82748	0.44485	0.6651	-13.091	0.53488	0.99996	26	-9.3456	0.52519	0.93693	16	-9.2971	0.56142	0.99999
"34"	"Basal cell carcinoma"	4	0.54327	0.45243	1	-0.54327	0.54757	0.74226	-12.019	0.96936	0.99996	1	0.59105	0.32108	0.8629	3	-14.219	0.99206	0.99999
"35"	"Basal transcription factors"	4	0.74127	0.40171	1	-0.74127	0.59829	0.79338	-8.4053	0.85221	0.99996	2	-0.27679	0.29399	0.8629	2	-11.61	0.98279	0.99999
"36"	"Base excision repair"	8	-0.41755	0.71737	1	0.41755	0.28263	0.48702	-14.636	0.98519	0.99996	2	-6.0928	0.77425	0.96722	6	-13.383	0.97723	0.99999
"37"	"Bile secretion"	15	0.67349	0.505	1	-0.67349	0.495	0.7055	-7.1341	0.47202	0.99977	8	-4.618	0.43654	0.86395	7	-5.5064	0.49833	0.99999
"38"	"Biosynthesis of unsaturated fatty acids"	11	2.0482	0.15309	0.99345	-2.0482	0.84691	0.99703	-2.7677	0.19416	0.70498	6	1.2113	0.10753	0.6943	5	-5.4321	0.59265	0.99999
"39"	"Bladder cancer"	12	-1.089	0.85823	1	1.089	0.14177	0.31043	-9.6023	0.72982	0.99996	5	-8.3132	0.83551	0.98082	7	-5.5465	0.50223	0.99999
"40"	"Breast cancer"	22	-1.2337	0.9012	1	1.2337	0.098796	0.24699	-15.823	0.94587	0.99996	5	-2.7677	0.39768	0.86395	17	-16.499	0.97487	0.99999
"41"	"Butanoate metabolism"	16	8.1106	7.5039e-07	1.5258e-05	-8.1106	1	1	-0.92885	0.0579	0.3839	14	3.3952	0.012499	0.15468	2	-11.61	0.98279	0.99999
"42"	"C-type lectin receptor signaling pathway"	33	-4.566	0.99973	1	4.566	0.00027046	0.0043415	-14.594	0.78347	0.99996	7	-10.623	0.8957	0.99293	26	-10.93	0.54205	0.99999
"43"	"Calcium signaling pathway"	51	-3.6015	0.99928	1	3.6015	0.00072336	0.0096464	-1.5885	0.0027356	0.043913	21	-3.6911	0.164	0.75461	30	1.0171	0.0010123	0.10055
"44"	"Carbohydrate digestion and absorption"	12	-0.52382	0.75797	1	0.52382	0.24203	0.43423	-5.8528	0.40962	0.98758	5	0.23703	0.17649	0.75461	7	-7.8634	0.71614	0.99999
"45"	"Cardiac muscle contraction"	41	10.821	7.2109e-10	1.8328e-08	-10.821	1	1	8.7999	3.686e-07	1.1242e-05	31	11.509	4.8692e-07	1.4462e-05	10	-2.4455	0.15027	0.85095
"46"	"Cell adhesion molecules (CAMs)"	24	1.4775	0.33913	1	-1.4775	0.66087	0.84449	-21.401	0.99742	0.99996	13	-10.394	0.794	0.97044	11	-20.313	0.99903	0.99999
"47"	"Cell cycle"	32	-2.3825	0.98238	1	2.3825	0.017616	0.082661	-23.088	0.99666	0.99996	9	-14.017	0.97359	0.99293	23	-18.465	0.97899	0.99999
"48"	"Cellular senescence"	49	-0.79362	0.91229	1	0.79362	0.087711	0.23034	-9.833	0.20141	0.71431	23	-6.5028	0.31147	0.8629	26	-7.3827	0.23021	0.87028
"49"	"Central carbon metabolism in cancer"	33	0.61989	0.59625	1	-0.61989	0.40375	0.6251	-7.3218	0.17911	0.6915	15	-2.7478	0.17096	0.75461	18	-7.4053	0.34451	0.96714
"50"	"Chagas disease (American trypanosomiasis)"	33	-2.2274	0.97775	1	2.2274	0.022251	0.092965	-17.623	0.93232	0.99996	10	-9.0922	0.78029	0.96722	23	-15.115	0.89079	0.99999
"51"	"Chemical carcinogenesis"	21	3.1463	0.066713	0.52173	-3.1463	0.93329	1	-3.3955	0.11444	0.52097	9	4.8275	0.013035	0.15486	12	-8.6726	0.6383	0.99999
"52"	"Chemokine signaling pathway"	50	-0.90679	0.90681	1	0.90679	0.093189	0.23685	-22.557	0.98179	0.99996	20	-9.9164	0.64127	0.95161	30	-21.025	0.98934	0.99999
"53"	"Cholesterol metabolism"	21	1.5658	0.31103	1	-1.5658	0.68897	0.86833	-5.3315	0.22229	0.74363	14	-4.0021	0.28583	0.8629	7	-3.5747	0.31706	0.94194
"54"	"Choline metabolism in cancer"	35	-1.6096	0.95898	1	1.6096	0.041024	0.1472	-14.909	0.78162	0.99996	14	-10.534	0.81968	0.97769	21	-10.647	0.59534	0.99999
"55"	"Cholinergic synapse"	30	-1.6266	0.95448	1	1.6266	0.045518	0.15599	-10.383	0.43588	0.98758	10	-1.1608	0.15792	0.75461	20	-11.896	0.71759	0.99999
"56"	"Chronic myeloid leukemia"	30	-2.6237	0.99009	1	2.6237	0.0099117	0.057923	-18.487	0.95438	0.99996	6	-7.985	0.77152	0.96722	24	-16.677	0.92646	0.99999
"57"	"Circadian entrainment"	29	-2.2381	0.97807	1	2.2381	0.021932	0.092908	-6.7137	0.19883	0.71344	9	-0.53241	0.14883	0.75461	20	-7.7273	0.32937	0.96228
"58"	"Circadian rhythm"	9	0.02343	0.63257	1	-0.02343	0.36743	0.59175	-5.102	0.43013	0.98758	6	-3.7756	0.43484	0.86395	3	-3.4974	0.47502	0.99999
"59"	"Citrate cycle (TCA cycle)"	29	17.019	0	0	-17.019	1	1	12.979	6.4809e-08	2.1963e-06	27	13.715	2.2172e-07	7.3169e-06	2	-0.96882	0.31925	0.94194
"60"	"Cocaine addiction"	10	0.60409	0.51153	1	-0.60409	0.48847	0.70275	-5.2812	0.44361	0.98758	4	0.23368	0.19917	0.79117	6	-7.0088	0.67582	0.99999
"61"	"Collecting duct acid secretion"	11	-0.59478	0.77225	1	0.59478	0.22775	0.41901	-3.0226	0.21096	0.72643	5	-4.1746	0.52157	0.93693	6	-0.28172	0.12041	0.80884
"62"	"Colorectal cancer"	31	-0.30433	0.80689	1	0.30433	0.19311	0.38042	-14.855	0.81926	0.99996	10	-2.7402	0.25805	0.85158	21	-16.158	0.94291	0.99999
"63"	"Complement and coagulation cascades"	38	1.0214	0.52267	1	-1.0214	0.47733	0.69962	-16.905	0.8703	0.99996	28	-11.094	0.63729	0.95161	10	-14.39	0.9678	0.99999
"64"	"Cortisol synthesis and secretion"	9	-0.99405	0.83763	1	0.99405	0.16237	0.33488	-3.2568	0.27697	0.82721	4	-3.1372	0.46966	0.88846	5	-1.5634	0.23547	0.87028
"65"	"Cushing syndrome"	33	-1.2931	0.92363	1	1.2931	0.076366	0.20983	-11.84	0.55535	0.99996	13	-8.8676	0.69092	0.96722	20	-8.0598	0.35924	0.98214
"66"	"Cysteine and methionine metabolism"	29	4.0699	0.027325	0.26885	-4.0699	0.97267	1	1.948	0.0025879	0.043851	18	6.1392	0.0010807	0.021398	11	-4.6904	0.29015	0.91982
"67"	"Cytokine-cytokine receptor interaction"	3	-0.18272	0.60764	1	0.18272	0.39236	0.61056	-9.8719	0.92245	0.99996	2	-11.61	0.97621	0.99293	1	-0.67964	0.35862	0.98214
"68"	"Cytosolic DNA-sensing pathway"	11	0.52638	0.49826	1	-0.52638	0.50174	0.71177	-20.421	0.99945	0.99996	3	-5.5318	0.71358	0.96722	8	-20.558	0.99972	0.99999
"69"	"D-Glutamine and D-glutamate metabolism"	3	1.7814	0.16391	1	-1.7814	0.83609	0.99225	-3.4054	0.49602	0.99996	2	-3.5816	0.57687	0.93693	1	-0.83323	0.37236	0.99967
"70"	"DNA replication"	9	-0.80655	0.80667	1	0.80655	0.19333	0.38042	-8.8917	0.7511	0.99996	1	2.7263	0.17298	0.75461	8	-10.395	0.849	0.99999
"71"	"Dilated cardiomyopathy (DCM)"	45	-4.378	0.99986	1	4.378	0.00014409	0.0036622	-2.8754	0.0090727	0.12578	18	-2.9263	0.14239	0.75461	27	-1.3228	0.0080035	0.29813
"72"	"Dopaminergic synapse"	46	-4.4671	0.99982	1	4.4671	0.00017832	0.0038848	-8.1404	0.10931	0.51925	14	-5.4969	0.41022	0.86395	32	-6.1242	0.086681	0.76298
"73"	"Drug metabolism"	38	1.9737	0.2891	1	-1.9737	0.7109	0.88997	-10.218	0.32204	0.88488	18	-4.4103	0.22885	0.82447	20	-9.9003	0.53534	0.99999
"74"	"ECM-receptor interaction"	38	-1.3807	0.94551	1	1.3807	0.05449	0.16959	-11.315	0.42033	0.98758	16	-8.3308	0.5775	0.93693	22	-7.7669	0.29708	0.92219
"75"	"Endocrine and other factor-regulated calcium reabsorption"	21	-0.40855	0.77814	1	0.40855	0.22186	0.41655	-10.676	0.67246	0.99996	12	-12.065	0.89874	0.99293	9	-2.376	0.16294	0.85095
"76"	"Endocytosis"	125	-0.59267	0.94823	1	0.59267	0.051768	0.1662	-23.033	0.59751	0.99996	63	-15.551	0.59256	0.9513	62	-17.03	0.53587	0.99999
"77"	"Endometrial cancer"	20	-1.0185	0.87359	1	1.0185	0.12641	0.28772	-11.894	0.76582	0.99996	5	0.43548	0.16527	0.75461	15	-13.985	0.92532	0.99999
"78"	"Epithelial cell signaling in Helicobacter pylori infection"	30	-1.9194	0.9698	1	1.9194	0.030204	0.11373	-16.029	0.87024	0.99996	14	-14.712	0.9686	0.99293	16	-8.1865	0.45682	0.99999
"79"	"Epstein-Barr virus infection"	74	-3.8775	0.99973	1	3.8775	0.00026809	0.0043415	-27.819	0.99385	0.99996	18	-12.326	0.84171	0.98421	56	-24.991	0.98607	0.99999
"80"	"ErbB signaling pathway"	39	-3.07	0.99735	1	3.07	0.0026501	0.023094	-15.691	0.78153	0.99996	8	-4.7343	0.44624	0.86395	31	-15.194	0.79927	0.99999
"81"	"Estrogen signaling pathway"	34	-1.676	0.96614	1	1.676	0.03386	0.12594	-8.8617	0.28749	0.82721	11	-3.5905	0.29362	0.8629	23	-8.2913	0.34322	0.96714
"82"	"Ether lipid metabolism"	10	-1.8689	0.94599	1	1.8689	0.05401	0.16959	-11.953	0.92048	0.99996	4	-12.563	0.9809	0.99429	6	-5.1745	0.50473	0.99999
"83"	"Fanconi anemia pathway"	5	-1.9534	0.933	1	1.9534	0.066995	0.19307	-6.018	0.65153	0.99996	0				5	-6.018	0.64768	0.99999
"84"	"Fat digestion and absorption"	9	1.6912	0.23565	1	-1.6912	0.76435	0.93625	-3.9892	0.33475	0.90352	7	-2.197	0.28149	0.8629	2	-4.3521	0.63759	0.99999
"85"	"Fatty acid biosynthesis"	7	2.4669	0.096252	0.71602	-2.4669	0.90375	1	0.24737	0.11358	0.52097	4	0.056541	0.21063	0.79188	3	0.31258	0.17312	0.85095
"86"	"Fatty acid degradation"	32	10.641	1.1437e-09	2.6834e-08	-10.641	1	1	2.2084	0.0011018	0.019767	26	3.7861	0.0023495	0.041048	6	-2.7811	0.28512	0.91361
"87"	"Fatty acid elongation"	15	5.8612	0.0002372	0.0038077	-5.8612	0.99976	1	3.5786	0.0049034	0.074776	10	8.2239	0.0009522	0.0202	5	-5.4321	0.59265	0.99999
"88"	"Fc epsilon RI signaling pathway"	27	-2.4381	0.98456	1	2.4381	0.015439	0.076114	-13.554	0.78686	0.99996	8	-9.6197	0.81535	0.97645	19	-9.915	0.57424	0.99999
"89"	"Fc gamma R-mediated phagocytosis"	41	-0.4658	0.83358	1	0.4658	0.16642	0.34066	-11.893	0.44684	0.98758	22	-10.486	0.68698	0.96722	19	-6.187	0.2384	0.87028
"90"	"Ferroptosis"	21	0.9223	0.46707	1	-0.9223	0.53293	0.7384	-4.5795	0.17492	0.69032	11	-3.8555	0.31495	0.8629	10	-2.5927	0.15872	0.85095
"91"	"Fluid shear stress and atherosclerosis"	58	-0.31283	0.85649	1	0.31283	0.14351	0.31043	-20.412	0.89713	0.99996	24	-6.6338	0.31966	0.8629	34	-21.086	0.9846	0.99999
"92"	"Focal adhesion"	101	-2.058	0.99497	1	2.058	0.0050317	0.036499	-17.788	0.33245	0.90352	45	-10.58	0.37636	0.86395	56	-14.404	0.36496	0.9887
"93"	"Folate biosynthesis"	11	0.18335	0.58913	1	-0.18335	0.41087	0.62973	0.71858	0.046734	0.33938	6	-1.1253	0.23095	0.82447	5	2.2986	0.047004	0.60762
"94"	"FoxO signaling pathway"	42	-2.0886	0.9784	1	2.0886	0.021603	0.092803	-13.826	0.60135	0.99996	13	-3.8829	0.2901	0.8629	29	-14.039	0.74928	0.99999
"95"	"Fructose and mannose metabolism"	21	-2.7152	0.98735	1	2.7152	0.012652	0.065403	-1.193	0.044342	0.33938	7	-1.3598	0.22338	0.82447	14	-0.49963	0.035241	0.60762
"96"	"GABAergic synapse"	19	-1.3765	0.91576	1	1.3765	0.084242	0.22342	-5.3259	0.24569	0.78059	9	-3.6506	0.36209	0.8629	10	-3.878	0.24531	0.87028
"97"	"Galactose metabolism"	15	-2.7097	0.98927	1	2.7097	0.010728	0.058427	-0.86951	0.061855	0.38502	7	-2.7978	0.32725	0.8629	8	1.4265	0.037337	0.60762
"98"	"Gap junction"	28	-1.38	0.91673	1	1.38	0.08327	0.22278	-8.86	0.37442	0.96037	11	-4.3546	0.3568	0.8629	17	-7.8679	0.43008	0.99999
"99"	"Gastric acid secretion"	23	-2.3614	0.98053	1	2.3614	0.019472	0.087339	-2.3781	0.060023	0.38502	8	-2.0338	0.24005	0.829	15	-1.4594	0.048187	0.60762
"100"	"Gastric cancer"	29	-0.90619	0.88181	1	0.90619	0.11819	0.2731	-19.192	0.97521	0.99996	8	-4.3688	0.41588	0.86395	21	-19.857	0.99339	0.99999
"101"	"Glioma"	25	-2.6812	0.98974	1	2.6812	0.010255	0.057923	-11.946	0.69553	0.99996	7	-8.5144	0.78757	0.96722	18	-8.7693	0.4705	0.99999
"102"	"Glucagon signaling pathway"	49	-2.2721	0.98906	1	2.2721	0.010945	0.058563	-9.0133	0.15209	0.67227	20	-6.2267	0.32283	0.8629	29	-6.5451	0.12844	0.83087
"103"	"Glutamatergic synapse"	27	-2.9041	0.99311	1	2.9041	0.0068901	0.045528	-6.1043	0.1719	0.69032	10	-6.9457	0.61504	0.95161	17	-2.3658	0.062213	0.61798
"104"	"Glutathione metabolism"	34	3.901	0.033686	0.30218	-3.901	0.96631	1	-4.865	0.066919	0.39251	17	4.7063	0.0022662	0.041048	17	-11.586	0.77132	0.99999
"105"	"Glycerolipid metabolism"	20	1.8782	0.2412	1	-1.8782	0.7588	0.93576	-2.3941	0.069715	0.40119	11	-0.32245	0.097702	0.64483	9	-3.2124	0.21618	0.87028
"106"	"Glycerophospholipid metabolism"	29	-0.58811	0.83782	1	0.58811	0.16218	0.33488	-16.223	0.90237	0.99996	12	-12.475	0.91407	0.99293	17	-10.708	0.7006	0.99999
"107"	"Glycine, serine and threonine metabolism"	17	3.3476	0.056184	0.45095	-3.3476	0.94382	1	-2.294	0.1053	0.50979	9	2.244	0.049001	0.41581	8	-5.7242	0.46815	0.99999
"108"	"Glycolysis / Gluconeogenesis"	47	-1.2275	0.93707	1	1.2275	0.06293	0.18817	3.7914	3.6178e-05	0.0008488	18	4.6866	0.0030066	0.04961	29	1.1344	0.0014198	0.10577
"109"	"Glycosaminoglycan degradation"	5	3.4133	0.029864	0.28464	-3.4133	0.97014	1	-4.2864	0.49354	0.99996	5	-4.2864	0.53149	0.93693	0			
"110"	"Glycosphingolipid biosynthesis"	2	3.1834	0.033134	0.30218	-3.1834	0.96687	1	2.7673	0.10307	0.50878	2	2.7673	0.11134	0.69748	0			
"111"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	4	0.19478	0.54308	1	-0.19478	0.45692	0.67324	-7.9256	0.82546	0.99996	2	-5.406	0.72576	0.96722	2	-5.8025	0.75939	0.99999
"112"	"Glyoxylate and dicarboxylate metabolism"	23	10.425	1.3208e-10	3.6621e-09	-10.425	1	1	6.2794	0.00017599	0.0033548	18	9.163	9.4465e-05	0.002338	5	-3.9179	0.44451	0.99999
"113"	"GnRH signaling pathway"	33	-4.6186	0.99976	1	4.6186	0.00023947	0.0042963	-8.0442	0.22675	0.74363	7	-6.1963	0.61521	0.95161	26	-5.8476	0.13494	0.83773
"114"	"Graft-versus-host disease"	4	-0.53278	0.72027	1	0.53278	0.27973	0.48702	-8.5357	0.85898	0.99996	1	-8.2095	0.93377	0.99293	3	-5.1164	0.62208	0.99999
"115"	"HIF-1 signaling pathway"	51	-2.7973	0.99606	1	2.7973	0.0039363	0.033349	-11.09	0.25541	0.78688	19	-8.6509	0.58005	0.93693	32	-7.3349	0.14057	0.85095
"116"	"Hedgehog signaling pathway"	9	-2.4177	0.97054	1	2.4177	0.029461	0.11232	-9.219	0.77388	0.99996	0				9	-9.219	0.73623	0.99999
"117"	"Hematopoietic cell lineage"	14	2.0979	0.17616	1	-2.0979	0.82384	0.98153	-9.9833	0.74842	0.99996	8	-1.1991	0.18872	0.77846	6	-13.865	0.98284	0.99999
"118"	"Hepatitis B"	53	-2.3946	0.98942	1	2.3946	0.010583	0.058427	-22.154	0.95905	0.99996	13	-9.3053	0.72266	0.96722	40	-20.196	0.95516	0.99999
"119"	"Hepatitis C"	50	-2.467	0.98975	1	2.467	0.010251	0.057923	-20.9	0.95543	0.99996	14	-8.7779	0.69718	0.96722	36	-19.156	0.9348	0.99999
"120"	"Hepatocellular carcinoma"	43	-1.3889	0.95356	1	1.3889	0.046441	0.15738	-16.769	0.83035	0.99996	13	-5.5361	0.41904	0.86395	30	-16.432	0.88088	0.99999
"121"	"Herpes simplex virus 1 infection"	59	-0.28961	0.84173	1	0.28961	0.15827	0.33292	-25.818	0.99497	0.99996	24	-10.26	0.63379	0.95161	35	-25.026	0.99851	0.99999
"122"	"Hippo signaling pathway"	34	-2.8033	0.99485	1	2.8033	0.0051458	0.036499	-15.689	0.85138	0.99996	11	-11.892	0.91421	0.99293	23	-10.852	0.58302	0.99999
"123"	"Histidine metabolism"	10	2.059	0.18417	1	-2.059	0.81583	0.97579	1.7478	0.037963	0.32163	5	3.72	0.044112	0.38533	5	-1.2482	0.2122	0.87028
"124"	"Homologous recombination"	8	-0.81591	0.79664	1	0.81591	0.20336	0.39008	-4.0473	0.38065	0.96037	2	1.06	0.20064	0.79117	6	-5.2855	0.51546	0.99999
"125"	"Human T-cell leukemia virus 1 infection"	61	-1.1235	0.95735	1	1.1235	0.042647	0.14951	-19.283	0.82926	0.99996	22	-9.7421	0.62475	0.95161	39	-16.799	0.81145	0.99999
"126"	"Human cytomegalovirus infection"	77	-1.3271	0.96514	1	1.3271	0.034862	0.12811	-25.341	0.9696	0.99996	34	-13.762	0.76548	0.96722	43	-21.673	0.97185	0.99999
"127"	"Human immunodeficiency virus 1 infection"	80	-2.6959	0.99771	1	2.6959	0.0022892	0.021684	-22.13	0.85562	0.99996	27	-7.5556	0.34043	0.8629	53	-21.796	0.9418	0.99999
"128"	"Human papillomavirus infection"	110	-3.0583	0.99917	1	3.0583	0.00083467	0.010145	-33.358	0.99905	0.99996	41	-22.578	0.99485	0.99949	69	-24.714	0.95712	0.99999
"129"	"Huntington disease"	113	29.667	0	0	-29.667	1	1	15.976	0	0	97	23.899	0	0	16	-16.387	0.96665	0.99999
"130"	"Hypertrophic cardiomyopathy (HCM)"	48	-2.8828	0.99558	1	2.8828	0.0044162	0.036404	-6.098	0.046239	0.33938	24	-6.0366	0.27354	0.8629	24	-2.5872	0.039931	0.60762
"131"	"IL-17 signaling pathway"	25	-1.4577	0.9372	1	1.4577	0.062796	0.18817	-18.983	0.9842	0.99996	8	-7.2714	0.65589	0.9596	17	-18.032	0.99027	0.99999
"132"	"Inflammatory bowel disease (IBD)"	8	-0.70503	0.77602	1	0.70503	0.22398	0.41655	-10.336	0.87867	0.99996	2	-8.0188	0.88133	0.99293	6	-7.3048	0.70116	0.99999
"133"	"Inflammatory mediator regulation of TRP channels"	29	-3.5389	0.99765	1	3.5389	0.0023476	0.021684	-9.8399	0.44354	0.98758	9	-11.271	0.90823	0.99293	20	-4.2883	0.10011	0.76298
"134"	"Influenza A"	56	-0.833	0.92184	1	0.833	0.078159	0.21284	-16.105	0.62766	0.99996	21	-4.3654	0.20304	0.79117	35	-16.99	0.85358	0.99999
"135"	"Inositol phosphate metabolism"	24	-1.7161	0.95113	1	1.7161	0.048865	0.16026	-14.632	0.8881	0.99996	9	-18.556	0.99835	0.99949	15	-4.1344	0.15873	0.85095
"136"	"Insulin resistance"	53	-0.60504	0.88038	1	0.60504	0.11962	0.27431	-19.579	0.87835	0.99996	21	-6.5458	0.36151	0.8629	32	-19.894	0.96896	0.99999
"137"	"Insulin secretion"	22	-2.6909	0.98525	1	2.6909	0.014752	0.074991	-8.168	0.41815	0.98758	8	-6.1368	0.5641	0.93693	14	-5.6002	0.28406	0.91361
