""	"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"40"	"Breast cancer"	22	-1.5087	0.94077	1	1.5087	0.059227	0.14444	-17.651	0.96291	0.99991	7	-10.615	0.88056	0.99991	15	-14.125	0.90502	0.9829
"41"	"Butanoate metabolism"	16	5.7459	3.1052e-05	0.00047354	-5.7459	0.99997	1	-3.6568	0.13332	0.59796	16	-3.6568	0.1641	0.97174	0			
"42"	"C-type lectin receptor signaling pathway"	33	-3.353	0.99813	1	3.353	0.0018747	0.017087	-16.264	0.84385	0.99991	7	-10.691	0.88383	0.99991	26	-12.777	0.61253	0.8574
"43"	"Calcium signaling pathway"	51	-2.8415	0.99712	1	2.8415	0.0028832	0.020133	-4.5768	0.0056183	0.090189	17	-1.4374	0.067425	0.67875	34	-4.589	0.013855	0.41391
"44"	"Carbohydrate digestion and absorption"	12	-0.65926	0.77004	1	0.65926	0.22996	0.4031	-6.3969	0.39	0.90731	4	-0.047973	0.19454	0.99991	8	-7.8006	0.63316	0.87622
"45"	"Cardiac muscle contraction"	41	9.9097	9.8316e-12	2.4989e-10	-9.9097	1	1	5.6147	3.208e-06	9.7843e-05	29	10.919	6.5658e-07	2.2032e-05	12	-6.5952	0.36707	0.70516
"46"	"Cell adhesion molecules (CAMs)"	24	0.39309	0.56413	1	-0.39309	0.43587	0.65167	-22.168	0.99798	0.99991	11	-10.34	0.80652	0.99991	13	-20.609	0.99894	0.99894
"47"	"Cell cycle"	32	-1.7586	0.96058	1	1.7586	0.039423	0.1077	-24.542	0.99901	0.99991	10	-23.231	0.99991	0.99991	22	-13.937	0.793	0.9829
"48"	"Cellular senescence"	49	-1.1205	0.92203	1	1.1205	0.077975	0.17234	-11.657	0.21684	0.74998	19	-6.0902	0.31983	0.99991	30	-10.051	0.25461	0.66099
"49"	"Central carbon metabolism in cancer"	33	0.33266	0.58024	1	-0.33266	0.41976	0.63214	-9.9045	0.30101	0.84807	14	-6.8257	0.48009	0.99991	19	-7.194	0.24072	0.66099
"50"	"Chagas disease (American trypanosomiasis)"	33	-3.2656	0.99771	1	3.2656	0.0022946	0.017945	-17.709	0.91281	0.99991	9	-15.422	0.98708	0.99991	24	-11.321	0.50777	0.80631
"51"	"Chemical carcinogenesis"	21	1.9846	0.1328	0.86182	-1.9846	0.8672	1	-3.4719	0.061721	0.43907	11	0.26167	0.071573	0.69469	10	-5.3057	0.29772	0.6656
"52"	"Chemokine signaling pathway"	50	-2.4048	0.99223	1	2.4048	0.0077657	0.035364	-23.429	0.97235	0.99991	18	-18.999	0.99258	0.99991	32	-15.038	0.68697	0.92868
"53"	"Cholesterol metabolism"	21	-0.12563	0.68952	1	0.12563	0.31048	0.50913	-3.7219	0.069168	0.43951	10	-3.8679	0.28336	0.99991	11	-1.4546	0.059452	0.46466
"54"	"Choline metabolism in cancer"	35	-1.5049	0.94108	1	1.5049	0.05892	0.14444	-16.023	0.79162	0.99991	15	-15.395	0.96224	0.99991	20	-7.8645	0.27509	0.6656
"55"	"Cholinergic synapse"	30	-2.6056	0.98997	1	2.6056	0.010026	0.04247	-12.46	0.57912	0.99991	9	-9.2282	0.79228	0.99991	21	-8.8508	0.33884	0.68235
"56"	"Chronic myeloid leukemia"	30	-2.4312	0.98613	1	2.4312	0.013875	0.054958	-19.158	0.96369	0.99991	9	-17.543	0.99667	0.99991	21	-11.413	0.59708	0.85047
"57"	"Circadian entrainment"	29	-3.2803	0.99785	1	3.2803	0.0021466	0.017695	-8.9426	0.2594	0.78983	10	-9.0845	0.72322	0.99991	19	-4.4574	0.080203	0.51269
"58"	"Circadian rhythm"	9	1.0154	0.28175	1	-1.0154	0.71825	0.89782	-5.5802	0.43223	0.91549	6	-3.4291	0.36799	0.99991	3	-4.8156	0.564	0.82115
"59"	"Citrate cycle (TCA cycle)"	29	15.221	0	0	-15.221	1	1	11.376	2.8603e-08	1.0905e-06	27	11.872	5.0569e-07	1.909e-05	2	-0.30034	0.23748	0.66099
"60"	"Cocaine addiction"	10	-1.1707	0.86169	1	1.1707	0.13831	0.27754	-5.3696	0.37177	0.8762	4	-1.5524	0.29758	0.99991	6	-5.6647	0.51221	0.80631
"61"	"Collecting duct acid secretion"	11	-1.7659	0.94706	1	1.7659	0.05294	0.13569	-3.0765	0.17462	0.70076	2	-1.7042	0.40703	0.99991	9	-2.5978	0.12456	0.58527
"62"	"Colorectal cancer"	31	-1.1239	0.89621	1	1.1239	0.10379	0.21832	-17.52	0.89828	0.99991	10	-8.5788	0.68419	0.99991	21	-15.367	0.8973	0.9829
"63"	"Complement and coagulation cascades"	38	-4.0895	0.99977	1	4.0895	0.00023001	0.0042766	-10.874	0.28653	0.83657	3	-3.9014	0.55399	0.99991	35	-10.189	0.19511	0.64522
"64"	"Cortisol synthesis and secretion"	9	-2.4312	0.97702	1	2.4312	0.02298	0.07702	-2.9903	0.21885	0.74998	2	-4.7242	0.66239	0.99991	7	-0.8655	0.089688	0.52378
"65"	"Cushing syndrome"	33	-1.4507	0.93409	1	1.4507	0.065907	0.15345	-13.891	0.66953	0.99991	13	-8.833	0.68345	0.99991	20	-10.721	0.54858	0.82115
"66"	"Cysteine and methionine metabolism"	29	5.0839	0.00037644	0.0047839	-5.0839	0.99962	1	-0.25345	0.0035698	0.060489	19	2.0124	0.013345	0.23708	10	-3.2056	0.14217	0.58527
"67"	"Cytokine-cytokine receptor interaction"	3	0.082069	0.54847	1	-0.082069	0.45153	0.66303	-10.178	0.94951	0.99991	1	-1.2105	0.43418	0.99991	2	-11.61	0.98574	0.99894
"68"	"Cytosolic DNA-sensing pathway"	11	0.33633	0.51624	1	-0.33633	0.48376	0.68375	-19.972	0.99943	0.99991	6	-13.481	0.97715	0.99991	5	-14.855	0.99347	0.99894
"69"	"D-Glutamine and D-glutamate metabolism"	3	1.7799	0.13051	0.86182	-1.7799	0.86949	1	-2.7672	0.4245	0.91549	2	-3.3186	0.54558	0.99991	1	-0.099624	0.28646	0.6656
"70"	"DNA replication"	9	0.15317	0.52637	1	-0.15317	0.47363	0.68375	-10.115	0.8131	0.99991	3	-7.7756	0.84646	0.99991	6	-6.8903	0.63302	0.87622
"71"	"Dilated cardiomyopathy (DCM)"	45	-4.921	0.99996	1	4.921	3.6259e-05	0.0018432	-6.3702	0.031046	0.3121	14	-6.5618	0.45645	0.99991	31	-3.2654	0.0079846	0.41391
"72"	"Dopaminergic synapse"	46	-4.8903	0.99999	1	4.8903	8.9708e-06	0.00068403	-10.482	0.18279	0.70604	11	-10.429	0.81183	0.99991	35	-6.17	0.032429	0.41749
"73"	"Drug metabolism"	38	0.90832	0.46835	1	-0.90832	0.53165	0.73042	-11.852	0.37059	0.8762	19	-8.2141	0.496	0.99991	19	-8.5468	0.36014	0.69643
"74"	"ECM-receptor interaction"	38	-0.80504	0.87467	1	0.80504	0.12533	0.25485	-9.8647	0.21055	0.74193	16	-8.6639	0.56495	0.99991	22	-5.5762	0.084563	0.51269
"75"	"Endocrine and other factor-regulated calcium reabsorption"	21	-1.9164	0.96847	1	1.9164	0.031526	0.092457	-9.6157	0.45875	0.94539	5	-6.8719	0.69365	0.99991	16	-7.1747	0.31717	0.6656
"76"	"Endocytosis"	125	-2.5431	0.99684	1	2.5431	0.0031575	0.020133	-24.503	0.55941	0.99991	40	-15.545	0.80631	0.99991	85	-19.051	0.27501	0.6656
"77"	"Endometrial cancer"	20	-1.9886	0.97197	1	1.9886	0.028029	0.088123	-12.554	0.75897	0.99991	5	-5.3231	0.56401	0.99991	15	-11.423	0.73004	0.94743
"78"	"Epithelial cell signaling in Helicobacter pylori infection"	30	-1.4732	0.93532	1	1.4732	0.064682	0.15259	-16.956	0.89808	0.99991	12	-13.415	0.94051	0.99991	18	-10.936	0.61216	0.8574
"79"	"Epstein-Barr virus infection"	74	-1.54	0.97296	1	1.54	0.027035	0.08746	-30.866	0.9984	0.99991	23	-23.53	0.99959	0.99991	51	-21.378	0.88952	0.9829
"80"	"ErbB signaling pathway"	39	-1.9473	0.96936	1	1.9473	0.030644	0.091631	-17.665	0.84798	0.99991	14	-11.931	0.86439	0.99991	25	-13.135	0.66175	0.90295
"81"	"Estrogen signaling pathway"	34	-2.8024	0.99314	1	2.8024	0.0068641	0.033231	-10.862	0.35889	0.8757	11	-7.227	0.57186	0.99991	23	-8.2083	0.22335	0.66099
"82"	"Ether lipid metabolism"	10	-1.0873	0.8476	1	1.0873	0.1524	0.29333	-12.7	0.91598	0.99991	3	-9.8059	0.93129	0.99991	7	-8.7596	0.74568	0.96344
"83"	"Fanconi anemia pathway"	5	-1.0518	0.82108	1	1.0518	0.17892	0.33896	-7.2767	0.73364	0.99991	1	-8.2095	0.91769	0.99991	4	-4.0308	0.4504	0.80631
"84"	"Fat digestion and absorption"	9	0.61752	0.38952	1	-0.61752	0.61048	0.80604	-4.4061	0.3281	0.84807	6	-5.9859	0.60133	0.99991	3	0.83376	0.11343	0.57666
"85"	"Fatty acid biosynthesis"	7	2.9881	0.022365	0.21317	-2.9881	0.97763	1	-1.0949	0.12478	0.57664	5	-1.2336	0.22663	0.99991	2	-0.097917	0.22171	0.66099
"86"	"Fatty acid degradation"	32	8.1624	3.7014e-09	8.6841e-08	-8.1624	1	1	-0.40127	0.0024128	0.043289	26	0.7277	0.0087393	0.16495	6	-2.4415	0.2169	0.66099
"87"	"Fatty acid elongation"	15	4.2823	0.0026687	0.030147	-4.2823	0.99733	1	1.2153	0.016156	0.21424	11	2.7434	0.022246	0.36043	4	-2.1961	0.27674	0.6656
"88"	"Fc epsilon RI signaling pathway"	27	-1.9118	0.96045	1	1.9118	0.039549	0.1077	-14.202	0.77953	0.99991	11	-13.874	0.94965	0.99991	16	-6.9457	0.29761	0.6656
"89"	"Fc gamma R-mediated phagocytosis"	41	-0.85694	0.87076	1	0.85694	0.12924	0.26104	-14.353	0.55848	0.99991	17	-11.429	0.76753	0.99991	24	-9.1414	0.29495	0.6656
"90"	"Ferroptosis"	21	0.11892	0.62102	1	-0.11892	0.37898	0.59291	-5.7274	0.15553	0.66814	10	-7.2367	0.57129	0.99991	11	-1.0136	0.047354	0.46466
"91"	"Fluid shear stress and atherosclerosis"	58	-1.0696	0.92553	1	1.0696	0.074467	0.167	-19.876	0.82019	0.99991	24	-10.945	0.65533	0.99991	34	-16.764	0.78742	0.9829
"92"	"Focal adhesion"	101	-2.7025	0.99828	1	2.7025	0.0017227	0.016419	-19.074	0.288	0.83657	39	-15.765	0.80714	0.99991	62	-11.841	0.060469	0.46466
"93"	"Folate biosynthesis"	11	2.1212	0.097213	0.74125	-2.1212	0.90279	1	-0.59517	0.06043	0.43907	7	-0.53696	0.14799	0.94545	4	-0.27665	0.13962	0.58527
"94"	"FoxO signaling pathway"	42	-1.7558	0.97276	1	1.7558	0.027242	0.08746	-14.583	0.57095	0.99991	13	-8.2536	0.6344	0.99991	29	-12.024	0.4673	0.80631
"95"	"Fructose and mannose metabolism"	21	-1.6056	0.9476	1	1.6056	0.0524	0.13544	-3.5704	0.064577	0.43907	7	0.65441	0.095458	0.77739	14	-4.8356	0.18649	0.64065
"96"	"GABAergic synapse"	19	-2.3082	0.98098	1	2.3082	0.019016	0.067441	-7.2049	0.29484	0.84043	7	-8.8877	0.78719	0.99991	12	-2.2779	0.078315	0.51269
"97"	"Galactose metabolism"	15	0.46262	0.49923	1	-0.46262	0.50077	0.69742	-1.7906	0.074997	0.44851	9	-1.2952	0.15937	0.96259	6	-1.2449	0.13903	0.58527
"98"	"Gap junction"	28	-1.7538	0.96087	1	1.7538	0.039134	0.1077	-10.988	0.47876	0.95439	12	-8.997	0.7073	0.99991	16	-6.7444	0.28088	0.6656
"99"	"Gastric acid secretion"	23	-2.7178	0.99075	1	2.7178	0.0092503	0.040251	-2.8758	0.030955	0.3121	7	-2.8528	0.29656	0.99991	16	-1.5609	0.032884	0.41749
"100"	"Gastric cancer"	29	-1.2557	0.91131	1	1.2557	0.088687	0.19321	-22.015	0.99248	0.99991	10	-12.128	0.89837	0.99991	19	-18.4	0.98466	0.99894
"101"	"Glioma"	25	-2.1046	0.97169	1	2.1046	0.028315	0.088123	-13.432	0.74608	0.99991	8	-9.184	0.79774	0.99991	17	-9.9885	0.55056	0.82115
"102"	"Glucagon signaling pathway"	49	-1.8109	0.97306	1	1.8109	0.02694	0.08746	-9.6267	0.10127	0.51478	19	-7.5298	0.43737	0.99991	30	-6.3108	0.050192	0.46466
"103"	"Glutamatergic synapse"	27	-3.9678	0.99937	1	3.9678	0.00062956	0.008728	-6.5071	0.14996	0.65338	10	-13.187	0.93433	0.99991	17	1.9133	0.0021771	0.3175
"104"	"Glutathione metabolism"	34	3.1846	0.026095	0.24118	-3.1846	0.97391	1	-4.7699	0.031722	0.3121	19	0.12844	0.035178	0.46191	15	-7.3259	0.32824	0.6656
"105"	"Glycerolipid metabolism"	20	0.83856	0.39868	1	-0.83856	0.60132	0.79741	-5.257	0.14881	0.65338	11	-3.0348	0.22967	0.99991	9	-4.4815	0.25251	0.66099
"106"	"Glycerophospholipid metabolism"	29	-0.49229	0.78251	1	0.49229	0.21749	0.38791	-14.053	0.71143	0.99991	13	-12.718	0.91543	0.99991	16	-7.4554	0.34185	0.68329
"107"	"Glycine, serine and threonine metabolism"	17	2.9808	0.030201	0.26318	-2.9808	0.9698	1	-3.5639	0.11646	0.55499	11	-1.7511	0.1534	0.94545	6	-3.6279	0.31442	0.6656
"108"	"Glycolysis / Gluconeogenesis"	47	0.13244	0.68	1	-0.13244	0.32	0.52192	-0.052592	0.0003173	0.0069126	20	2.3886	0.0058951	0.12717	27	-2.1251	0.0043493	0.3175
"109"	"Glycosaminoglycan degradation"	5	1.1998	0.24257	1	-1.1998	0.75743	0.93152	-7.1407	0.72267	0.99991	5	-7.1407	0.71434	0.99991	0			
"110"	"Glycosphingolipid biosynthesis"	2	1.7861	0.11697	0.8297	-1.7861	0.88303	1	1.1336	0.16249	0.68832	2	1.1336	0.19769	0.99991	0			
"111"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	4	-0.12156	0.6163	1	0.12156	0.3837	0.59708	-8.2815	0.82522	0.99991	1	-0.27213	0.35409	0.99991	3	-9.4055	0.89864	0.9829
"112"	"Glyoxylate and dicarboxylate metabolism"	23	10.06	7.3509e-12	2.0382e-10	-10.06	1	1	6.5726	1.0204e-05	0.00025936	19	7.1655	0.00043799	0.011023	4	0.14369	0.11717	0.57666
"113"	"GnRH signaling pathway"	33	-3.4826	0.99862	1	3.4826	0.0013797	0.014511	-9.8289	0.2947	0.84043	12	-11.012	0.84323	0.99991	21	-3.9968	0.047606	0.46466
"114"	"Graft-versus-host disease"	4	0.23723	0.51353	1	-0.23723	0.48647	0.68375	-9.4213	0.88512	0.99991	2	-6.021	0.758	0.99991	2	-7.3027	0.8608	0.9829
"115"	"HIF-1 signaling pathway"	51	-2.1897	0.98835	1	2.1897	0.011649	0.048015	-11.811	0.20586	0.74193	18	-8.3433	0.52578	0.99991	33	-8.5217	0.13233	0.58527
"116"	"Hedgehog signaling pathway"	9	-1.3354	0.88052	1	1.3354	0.11948	0.24623	-11.423	0.88399	0.99991	2	-7.4884	0.8456	0.99991	7	-8.95	0.76092	0.97881
"117"	"Hematopoietic cell lineage"	14	0.13262	0.58571	1	-0.13262	0.41429	0.62866	-11.53	0.80774	0.99991	6	-3.8412	0.40461	0.99991	8	-11.926	0.92217	0.9829
"118"	"Hepatitis B"	53	-1.6079	0.96332	1	1.6079	0.036681	0.10456	-22.506	0.9485	0.99991	18	-13.515	0.88795	0.99991	35	-18.003	0.85544	0.9829
"119"	"Hepatitis C"	50	-1.9842	0.98212	1	1.9842	0.017883	0.064167	-21.761	0.93715	0.99991	16	-17.713	0.987	0.99991	34	-14.238	0.56956	0.82115
"120"	"Hepatocellular carcinoma"	43	-1.0366	0.90609	1	1.0366	0.093915	0.20172	-18.193	0.85424	0.99991	19	-14.781	0.92022	0.99991	24	-11.2	0.49533	0.80631
"121"	"Herpes simplex virus 1 infection"	59	-1.168	0.9435	1	1.168	0.056501	0.14011	-26.606	0.99445	0.99991	21	-19.472	0.99171	0.99991	38	-18.677	0.88122	0.9829
"122"	"Hippo signaling pathway"	34	-2.0224	0.97064	1	2.0224	0.029358	0.089542	-19.138	0.95244	0.99991	11	-16.381	0.98582	0.99991	23	-11.94	0.56532	0.82115
"123"	"Histidine metabolism"	10	1.4451	0.19804	1	-1.4451	0.80196	0.9637	1.0727	0.033905	0.32316	8	0.72666	0.083704	0.72225	2	0.94527	0.15049	0.58527
"124"	"Homologous recombination"	8	-0.1594	0.62093	1	0.1594	0.37907	0.59291	-4.7672	0.40367	0.912	2	-3.7181	0.57966	0.99991	6	-3.358	0.29066	0.6656
"125"	"Human T-cell leukemia virus 1 infection"	61	-1.3004	0.94927	1	1.3004	0.05073	0.13339	-21.17	0.85604	0.99991	21	-11.165	0.69589	0.99991	40	-18.053	0.81093	0.9829
"126"	"Human cytomegalovirus infection"	77	-3.733	0.9998	1	3.733	0.00020436	0.0042766	-26.865	0.97933	0.99991	26	-24.882	0.99972	0.99991	51	-15.244	0.38603	0.72257
"127"	"Human immunodeficiency virus 1 infection"	80	-3.5281	0.99966	1	3.5281	0.00034049	0.0057694	-25.018	0.92978	0.99991	23	-20.871	0.99679	0.99991	57	-16.381	0.37297	0.7118
"128"	"Human papillomavirus infection"	110	-2.1186	0.99285	1	2.1186	0.0071535	0.034091	-34.806	0.99885	0.99991	42	-26.872	0.9993	0.99991	68	-23.15	0.85279	0.9829
"129"	"Huntington disease"	113	27.182	0	0	-27.182	1	1	14.211	0	0	96	19.439	0	0	17	-9.5557	0.50748	0.80631
"130"	"Hypertrophic cardiomyopathy (HCM)"	48	-3.0378	0.99717	1	3.0378	0.002833	0.020133	-9.1784	0.085011	0.46584	20	-8.6715	0.50312	0.99991	28	-4.6885	0.029915	0.41596
"131"	"IL-17 signaling pathway"	25	-2.0845	0.97072	1	2.0845	0.029285	0.089542	-19.696	0.98667	0.99991	7	-14.129	0.97458	0.99991	18	-14.4	0.87461	0.9829
"132"	"Inflammatory bowel disease (IBD)"	8	-0.21515	0.6363	1	0.21515	0.3637	0.57776	-8.6855	0.75532	0.99991	4	-4.6166	0.55591	0.99991	4	-7.6666	0.78889	0.9829
"133"	"Inflammatory mediator regulation of TRP channels"	29	-2.8225	0.99405	1	2.8225	0.0059502	0.03129	-10.313	0.37346	0.8762	9	-10.786	0.87904	0.99991	20	-5.1826	0.10151	0.54073
"134"	"Influenza A"	56	0.17297	0.69003	1	-0.17297	0.30997	0.50913	-17.541	0.65918	0.99991	24	-7.6646	0.36683	0.99991	32	-16.567	0.80738	0.9829
"135"	"Inositol phosphate metabolism"	24	-0.96996	0.87669	1	0.96996	0.12331	0.25241	-15.736	0.90469	0.99991	7	-7.458	0.68488	0.99991	17	-13.911	0.86621	0.9829
"136"	"Insulin resistance"	53	-0.60373	0.85636	1	0.60373	0.14364	0.28635	-20.096	0.85599	0.99991	21	-11.467	0.71943	0.99991	32	-16.573	0.80782	0.9829
"137"	"Insulin secretion"	22	-2.6365	0.99244	1	2.6365	0.0075614	0.035364	-7.998	0.31268	0.84807	6	-6.085	0.6102	0.99991	16	-5.6522	0.19887	0.64522
