""	"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"26"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	36	0.13838	0.1248	0.60692	-0.13838	0.8752	1	-18.443	0.19947	0.58499	19	-11.902	0.087416	0.50806	17	-14.256	0.55175	0.78295
"27"	"Ascorbate and aldarate metabolism"	6	0.59472	0.0023716	0.080371	-0.59472	0.99763	1	-5.3032	0.16137	0.51809	5	-2.1379	0.030457	0.40546	1	-8.2095	0.93587	0.97716
"28"	"Asthma"	2	0.013768	0.41705	0.95057	-0.013768	0.58295	0.99471	-7.3297	0.77612	0.99974	2	-7.3297	0.74487	0.99951	0			
"29"	"Autoimmune thyroid disease"	4	0.28508	0.068134	0.53284	-0.28508	0.93187	1	-9.3909	0.75469	0.99974	3	-6.1039	0.47233	0.98978	1	-8.2095	0.93587	0.97716
"30"	"Autophagy"	56	-0.18111	0.58367	0.95057	0.18111	0.41633	0.99471	-28.976	0.79056	0.99974	32	-26.978	0.97442	0.99951	24	-13.111	0.13708	0.48934
"31"	"Axon guidance"	55	-0.11591	0.47708	0.95057	0.11591	0.52292	0.99471	-27.638	0.67254	0.99974	26	-21.696	0.82362	0.99951	29	-17.519	0.39593	0.65702
"32"	"B cell receptor signaling pathway"	27	-0.18356	0.65446	0.95057	0.18356	0.34554	0.99471	-22.073	0.88511	0.99974	15	-20.036	0.96308	0.99951	12	-10.709	0.3836	0.65329
"33"	"Bacterial invasion of epithelial cells"	42	0.0021051	0.28816	0.92515	-0.0021051	0.71184	1	-21.621	0.35106	0.73845	20	-15.956	0.42648	0.96822	22	-14.66	0.33477	0.61582
"34"	"Basal cell carcinoma"	4	-0.028721	0.48558	0.95057	0.028721	0.51442	0.99471	-13.158	0.97011	0.99974	2	-11.61	0.97683	0.99951	2	-6.9979	0.74762	0.88761
"35"	"Basal transcription factors"	4	0.30601	0.056279	0.50486	-0.30601	0.94372	1	-9.109	0.72576	0.99974	4	-9.109	0.71083	0.99951	0			
"36"	"Base excision repair"	8	0.070334	0.29729	0.93458	-0.070334	0.70271	1	-16.491	0.98024	0.99974	4	-9.6906	0.76959	0.99951	4	-13.632	0.98818	0.99064
"37"	"Bile secretion"	15	-0.76951	0.99922	1	0.76951	0.00078011	0.029742	-11.628	0.25227	0.65949	4	-12.574	0.94931	0.99951	11	-5.9969	0.046429	0.39531
"38"	"Biosynthesis of unsaturated fatty acids"	11	-0.35732	0.92158	1	0.35732	0.078415	0.61325	-10.503	0.36361	0.74192	5	-9.8085	0.67091	0.99951	6	-5.2676	0.17543	0.52234
"39"	"Bladder cancer"	12	-0.072298	0.5169	0.95057	0.072298	0.4831	0.99471	-13.77	0.68458	0.99974	5	-12.835	0.91251	0.99951	7	-7.1812	0.28668	0.58528
"40"	"Breast cancer"	22	-0.079404	0.50145	0.95057	0.079404	0.49855	0.99471	-21.618	0.94395	0.99974	14	-22.019	0.99404	0.99951	8	-6.7203	0.191	0.53695
"41"	"Butanoate metabolism"	16	0.21762	0.09574	0.59594	-0.21762	0.90426	1	-12.109	0.27235	0.67763	10	-8.2666	0.13253	0.64128	6	-9.1015	0.61216	0.82193
"42"	"C-type lectin receptor signaling pathway"	33	0.16173	0.11018	0.60115	-0.16173	0.88982	1	-22.205	0.72383	0.99974	19	-16.733	0.5604	0.99951	14	-14.598	0.74354	0.88761
"43"	"Calcium signaling pathway"	51	-0.070009	0.38585	0.95057	0.070009	0.61415	0.99471	-20.173	0.059812	0.35124	25	-12.992	0.038188	0.40546	26	-15.514	0.30521	0.59768
"44"	"Carbohydrate digestion and absorption"	12	-0.25591	0.80092	1	0.25591	0.19908	0.86938	-8.6094	0.12481	0.45793	6	-10.36	0.66099	0.99951	6	-1.8156	0.021204	0.38113
"45"	"Cardiac muscle contraction"	41	-0.30901	0.80047	1	0.30901	0.19953	0.86938	-13.996	0.0037069	0.12562	11	-3.5522	0.0032876	0.19725	30	-14.211	0.074439	0.41693
"46"	"Cell adhesion molecules (CAMs)"	24	-0.30102	0.83164	1	0.30102	0.16836	0.84709	-23.693	0.98281	0.99974	7	-10.914	0.65311	0.99951	17	-21.148	0.99064	0.99064
"47"	"Cell cycle"	32	0.1408	0.14704	0.66435	-0.1408	0.85296	1	-28.928	0.99817	0.99974	24	-26.728	0.99563	0.99951	8	-11.562	0.75853	0.88993
"48"	"Cellular senescence"	49	-0.0025339	0.29356	0.93268	0.0025339	0.70644	1	-21.848	0.16852	0.51917	27	-18.034	0.35708	0.89417	22	-12.627	0.142	0.48934
"49"	"Central carbon metabolism in cancer"	33	-0.11735	0.53436	0.95057	0.11735	0.46564	0.99471	-17.584	0.18119	0.55216	13	-14.631	0.66648	0.99951	20	-10.791	0.070776	0.41693
"50"	"Chagas disease (American trypanosomiasis)"	33	-0.14961	0.59402	0.95057	0.14961	0.40598	0.99471	-23.621	0.85437	0.99974	17	-19.008	0.87753	0.99951	16	-14.33	0.59441	0.81628
"51"	"Chemical carcinogenesis"	21	-0.28219	0.82047	1	0.28219	0.17953	0.85067	-9.6936	0.021699	0.26473	12	-10.233	0.19673	0.72436	9	-2.9914	0.01197	0.3567
"52"	"Chemokine signaling pathway"	50	-0.067686	0.37861	0.95057	0.067686	0.62139	0.99471	-29.168	0.92268	0.99974	31	-27.634	0.9824	0.99951	19	-12.018	0.17791	0.52234
"53"	"Cholesterol metabolism"	21	-0.10592	0.54027	0.95057	0.10592	0.45973	0.99471	-11.244	0.061725	0.35124	12	-7.4956	0.042888	0.40546	9	-8.5209	0.30888	0.5977
"54"	"Choline metabolism in cancer"	35	-0.1994	0.66641	0.95057	0.1994	0.33359	0.99471	-21.86	0.62215	0.99974	20	-21.702	0.95173	0.99951	15	-8.3327	0.057201	0.41279
"55"	"Cholinergic synapse"	30	-0.33256	0.86824	1	0.33256	0.13176	0.83522	-18.771	0.43762	0.81146	16	-18.139	0.84686	0.99951	14	-8.0861	0.072172	0.41693
"56"	"Chronic myeloid leukemia"	30	0.17121	0.11432	0.60115	-0.17121	0.88568	1	-24.433	0.95093	0.99974	21	-21.603	0.91771	0.99951	9	-11.609	0.68553	0.86197
"57"	"Circadian entrainment"	29	-0.27787	0.79648	1	0.27787	0.20352	0.87427	-16.638	0.21972	0.6205	13	-11.545	0.28636	0.78815	16	-11.994	0.30687	0.59768
"58"	"Circadian rhythm"	9	0.23139	0.098286	0.59954	-0.23139	0.90171	1	-9.1801	0.31969	0.71696	5	-3.112	0.057059	0.47549	4	-10.291	0.88469	0.97716
"59"	"Citrate cycle (TCA cycle)"	29	-0.47275	0.95766	1	0.47275	0.042345	0.52381	-10.887	0.005019	0.13916	12	-10.187	0.19271	0.72436	17	-5.6607	0.0041444	0.17643
"60"	"Cocaine addiction"	10	-0.27083	0.84458	1	0.27083	0.15542	0.84134	-8.6726	0.22617	0.62521	3	-6.3856	0.5066	0.99951	7	-6.1854	0.18936	0.53695
"61"	"Collecting duct acid secretion"	11	-0.94745	0.99998	1	0.94745	1.7542e-05	0.0017835	-5.8912	0.033027	0.31445	2	-3.3877	0.28436	0.78815	9	-4.916	0.049899	0.40189
"62"	"Colorectal cancer"	31	-0.094519	0.4984	0.95057	0.094519	0.5016	0.99471	-23.15	0.88225	0.99974	20	-23.66	0.98903	0.99951	11	-6.961	0.084321	0.43323
"63"	"Complement and coagulation cascades"	38	-0.17904	0.60245	0.95057	0.17904	0.39755	0.99471	-21.612	0.47476	0.85509	8	-11.961	0.67277	0.99951	30	-18.147	0.42804	0.69324
"64"	"Cortisol synthesis and secretion"	9	-0.1192	0.62724	0.95057	0.1192	0.37276	0.99471	-9.3973	0.34384	0.73336	4	-7.0591	0.46629	0.98978	5	-6.2939	0.33193	0.61582
"65"	"Cushing syndrome"	33	-0.19929	0.68132	0.95057	0.19929	0.31868	0.99471	-21.895	0.68916	0.99974	17	-18.345	0.8308	0.99951	16	-12.535	0.36976	0.646
"66"	"Cysteine and methionine metabolism"	29	0.088539	0.19666	0.76219	-0.088539	0.80334	1	-11.559	0.00904	0.19214	20	-9.8332	0.015626	0.32181	9	-6.0907	0.10166	0.48862
"67"	"Cytokine-cytokine receptor interaction"	3	0.23524	0.091665	0.59484	-0.23524	0.90834	1	-9.7555	0.88182	0.99974	2	-6.143	0.61358	0.99951	1	-8.2095	0.93587	0.97716
"68"	"Cytosolic DNA-sensing pathway"	11	0.11903	0.21733	0.78912	-0.11903	0.78267	1	-20.701	0.99838	0.99974	7	-16.178	0.97901	0.99951	4	-12.926	0.97924	0.99064
"69"	"D-Glutamine and D-glutamate metabolism"	3	0.071261	0.30336	0.93458	-0.071261	0.69664	1	-6.6594	0.57685	0.96581	3	-6.6594	0.53987	0.99951	0			
"70"	"DNA replication"	9	-0.066669	0.53284	0.95057	0.066669	0.46716	0.99471	-13.036	0.76197	0.99974	7	-14.024	0.9135	0.99951	2	-1.4156	0.12246	0.48934
"71"	"Dilated cardiomyopathy (DCM)"	45	0.33915	0.013656	0.2472	-0.33915	0.98634	1	-18.811	0.065888	0.35124	27	-12.316	0.01609	0.32181	18	-14.659	0.56459	0.78621
"72"	"Dopaminergic synapse"	46	-0.22933	0.6737	0.95057	0.22933	0.3263	0.99471	-20.149	0.12612	0.45793	24	-17.913	0.46694	0.98978	22	-10.426	0.038406	0.38113
"73"	"Drug metabolism"	38	-0.2686	0.74337	0.99008	0.2686	0.25663	0.99471	-18.415	0.1423	0.49321	21	-16.846	0.45536	0.98978	17	-8.8089	0.052031	0.40803
"74"	"ECM-receptor interaction"	38	0.55193	0.0015536	0.065958	-0.55193	0.99845	1	-17.213	0.073759	0.36752	16	-11.716	0.18283	0.7217	22	-12.631	0.14228	0.48934
"75"	"Endocrine and other factor-regulated calcium reabsorption"	21	-0.50026	0.973	1	0.50026	0.027004	0.37437	-15.193	0.37461	0.74192	7	-9.069	0.42821	0.96822	14	-12.195	0.44996	0.7209
"76"	"Endocytosis"	125	-0.12349	0.35654	0.95057	0.12349	0.64346	0.99471	-37.092	0.25036	0.65949	61	-25.236	0.12172	0.62921	64	-27.2	0.51947	0.77746
"77"	"Endometrial cancer"	20	-0.11179	0.55259	0.95057	0.11179	0.44741	0.99471	-17.874	0.74309	0.99974	9	-16.096	0.9507	0.99951	11	-9.5422	0.28675	0.58528
"78"	"Epithelial cell signaling in Helicobacter pylori infection"	30	-0.41676	0.93399	1	0.41676	0.066007	0.59212	-19.316	0.50686	0.8936	13	-13.608	0.54002	0.99951	17	-13.76	0.48808	0.75802
"79"	"Epstein-Barr virus infection"	74	-0.18604	0.56304	0.95057	0.18604	0.43696	0.99471	-37.764	0.99249	0.99974	36	-32.649	0.99951	0.99951	38	-20.921	0.53346	0.77926
"80"	"ErbB signaling pathway"	39	0.0013642	0.2773	0.92515	-0.0013642	0.7227	1	-24.608	0.79122	0.99974	27	-24.849	0.95997	0.99951	12	-7.0903	0.081486	0.42601
"81"	"Estrogen signaling pathway"	34	-0.11231	0.50957	0.95057	0.11231	0.49043	0.99471	-19.386	0.37224	0.74192	19	-17.079	0.60268	0.99951	15	-9.9647	0.14796	0.49542
"82"	"Ether lipid metabolism"	10	-0.15665	0.68513	0.95057	0.15665	0.31487	0.99471	-14.609	0.87905	0.99974	3	-9.829	0.85709	0.99951	7	-11.026	0.74584	0.88761
"83"	"Fanconi anemia pathway"	5	0.054078	0.3473	0.95057	-0.054078	0.6527	0.99471	-9.4068	0.67507	0.99974	3	-6.4743	0.51739	0.99951	2	-6.9442	0.74197	0.88761
"84"	"Fat digestion and absorption"	9	0.098549	0.24854	0.87131	-0.098549	0.75146	1	-8.7552	0.27467	0.67763	5	-6.1219	0.25113	0.78815	4	-6.2883	0.46956	0.74431
"85"	"Fatty acid biosynthesis"	7	0.21049	0.12735	0.60692	-0.21049	0.87265	1	-6.0806	0.13917	0.4879	4	-2.3764	0.060868	0.49352	3	-6.5442	0.55699	0.78295
"86"	"Fatty acid degradation"	32	0.34277	0.026665	0.32804	-0.34277	0.97334	1	-15.777	0.092956	0.41089	19	-9.3467	0.015577	0.32181	13	-13.453	0.61507	0.82193
"87"	"Fatty acid elongation"	15	-0.22355	0.7502	0.99483	0.22355	0.2498	0.99471	-9.585	0.092841	0.41089	8	-7.2565	0.15223	0.6818	7	-6.2734	0.19704	0.54195
"88"	"Fc epsilon RI signaling pathway"	27	-0.22607	0.72328	0.96956	0.22607	0.27672	0.99471	-19.262	0.61431	0.99974	16	-19.723	0.93296	0.99951	11	-6.3917	0.059848	0.41279
"89"	"Fc gamma R-mediated phagocytosis"	41	-0.24366	0.70713	0.96956	0.24366	0.29287	0.99471	-19.644	0.18285	0.55216	21	-15.813	0.33065	0.87783	20	-11.922	0.13535	0.48934
"90"	"Ferroptosis"	21	-0.36002	0.89929	1	0.36002	0.10071	0.71434	-11.112	0.056906	0.35124	12	-6.3952	0.019426	0.35306	9	-9.5897	0.43682	0.70364
"91"	"Fluid shear stress and atherosclerosis"	58	0.11869	0.10496	0.60115	-0.11869	0.89504	1	-28.57	0.71586	0.99974	39	-25.045	0.71458	0.99951	19	-14.035	0.39686	0.65702
"92"	"Focal adhesion"	101	0.42431	0.00173	0.065958	-0.42431	0.99827	1	-31.118	0.076188	0.36885	51	-25.942	0.43524	0.96855	50	-18.027	0.032741	0.38113
"93"	"Folate biosynthesis"	11	0.078951	0.27546	0.92515	-0.078951	0.72454	1	-5.0966	0.018102	0.25137	6	-1.8395	0.012916	0.32181	5	-5.5445	0.24717	0.54476
"94"	"FoxO signaling pathway"	42	0.13237	0.12317	0.60692	-0.13237	0.87683	1	-23.126	0.53742	0.92704	26	-19.32	0.57281	0.99951	16	-12.841	0.4071	0.66658
"95"	"Fructose and mannose metabolism"	21	-0.37446	0.91058	1	0.37446	0.089416	0.66362	-9.8425	0.024201	0.27338	6	-6.0268	0.17634	0.7217	15	-7.8341	0.040783	0.38113
"96"	"GABAergic synapse"	19	-0.32474	0.87464	1	0.32474	0.12536	0.83121	-11.996	0.12845	0.46093	8	-12.579	0.7393	0.99951	11	-5.0389	0.02371	0.38113
"97"	"Galactose metabolism"	15	0.37552	0.019938	0.32005	-0.37552	0.98006	1	-8.372	0.043364	0.33913	7	-5.1994	0.08283	0.50806	8	-6.6002	0.18054	0.52234
"98"	"Gap junction"	28	-0.11024	0.53379	0.95057	0.11024	0.46621	0.99471	-17.259	0.33219	0.72891	13	-13.257	0.49502	0.99951	15	-11.238	0.26472	0.56487
"99"	"Gastric acid secretion"	23	-0.79657	0.99969	1	0.79657	0.00031391	0.015957	-10.286	0.018956	0.25137	8	-6.6534	0.112	0.61093	15	-7.8774	0.042036	0.38113
"100"	"Gastric cancer"	29	-0.15062	0.59666	0.95057	0.15062	0.40334	0.99471	-25.369	0.97507	0.99974	17	-24.137	0.99705	0.99951	12	-10.709	0.38364	0.65329
"101"	"Glioma"	25	-0.054765	0.44294	0.95057	0.054765	0.55706	0.99471	-20.057	0.77038	0.99974	14	-16.843	0.8255	0.99951	11	-11.235	0.48839	0.75802
"102"	"Glucagon signaling pathway"	49	-0.34044	0.82957	1	0.34044	0.17043	0.84709	-23.106	0.29003	0.68045	17	-16.31	0.62781	0.99951	32	-16.704	0.21801	0.54195
"103"	"Glutamatergic synapse"	27	-0.3713	0.89611	1	0.3713	0.10389	0.71484	-14.247	0.09113	0.41089	11	-12.724	0.53667	0.99951	16	-7.9572	0.036745	0.38113
"104"	"Glutathione metabolism"	34	-0.16965	0.61073	0.95057	0.16965	0.38927	0.99471	-13.509	0.013516	0.22903	22	-12.528	0.069917	0.50806	12	-5.7752	0.036357	0.38113
"105"	"Glycerolipid metabolism"	20	0.0021834	0.34791	0.95057	-0.0021834	0.65209	0.99471	-11.041	0.057954	0.35124	10	-7.4429	0.086184	0.50806	10	-8.1719	0.20993	0.54195
"106"	"Glycerophospholipid metabolism"	29	-0.70014	0.99718	1	0.70014	0.0028166	0.061361	-21.081	0.73182	0.99974	12	-16.317	0.85741	0.99951	17	-13.825	0.49643	0.76256
"107"	"Glycine, serine and threonine metabolism"	17	0.19204	0.11193	0.60115	-0.19204	0.88807	1	-10.691	0.11276	0.45253	10	-8.5499	0.15186	0.6818	7	-6.4417	0.21225	0.54195
"108"	"Glycolysis / Gluconeogenesis"	47	-0.48217	0.9508	1	0.48217	0.049202	0.52381	-12.622	0.00012021	0.0085239	15	-7.1654	0.013289	0.32181	32	-10.391	0.0027665	0.16488
"109"	"Glycosaminoglycan degradation"	5	-0.0093156	0.45789	0.95057	0.0093156	0.54211	0.99471	-10.281	0.76404	0.99974	3	-7.4995	0.63925	0.99951	2	-7.0702	0.75513	0.88945
"110"	"Glycosphingolipid biosynthesis"	2	0.017881	0.41073	0.95057	-0.017881	0.58927	0.99471	-3.38	0.30723	0.69412	2	-3.38	0.28355	0.78815	0			
"111"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	4	-0.062312	0.54754	0.95057	0.062312	0.45246	0.99471	-9.2279	0.73816	0.99974	1	-1.2234	0.21882	0.7657	3	-9.9492	0.88268	0.97716
"112"	"Glyoxylate and dicarboxylate metabolism"	23	0.12679	0.15247	0.66435	-0.12679	0.84753	1	-10.243	0.018354	0.25137	14	-7.7501	0.033246	0.40546	9	-6.709	0.14109	0.48934
"113"	"GnRH signaling pathway"	33	-0.016872	0.34973	0.95057	0.016872	0.65027	0.99471	-18.127	0.23147	0.63034	18	-14.526	0.33673	0.87842	15	-10.974	0.23721	0.54377
"114"	"Graft-versus-host disease"	4	0.28508	0.068134	0.53284	-0.28508	0.93187	1	-9.3909	0.75469	0.99974	3	-6.1039	0.47233	0.98978	1	-8.2095	0.93587	0.97716
"115"	"HIF-1 signaling pathway"	51	-0.15034	0.53565	0.95057	0.15034	0.46435	0.99471	-22.752	0.22487	0.62521	26	-19.742	0.62402	0.99951	25	-12.364	0.072668	0.41693
"116"	"Hedgehog signaling pathway"	9	0.060001	0.30804	0.93951	-0.060001	0.69196	1	-13.542	0.80727	0.99974	7	-14.1	0.91715	0.99951	2	-2.3489	0.19577	0.54195
"117"	"Hematopoietic cell lineage"	14	-0.12025	0.59166	0.95057	0.12025	0.40834	0.99471	-13.91	0.57949	0.96581	6	-8.9687	0.49342	0.99951	8	-10.634	0.6553	0.85275
"118"	"Hepatitis B"	53	0.25613	0.040366	0.39715	-0.25613	0.95963	1	-30.302	0.9278	0.99974	33	-24.873	0.87697	0.99951	20	-17.379	0.75092	0.888
"119"	"Hepatitis C"	50	-0.068906	0.38071	0.95057	0.068906	0.61929	0.99471	-29.764	0.94737	0.99974	30	-25.789	0.95424	0.99951	20	-15.475	0.52265	0.77746
"120"	"Hepatocellular carcinoma"	43	0.049658	0.2114	0.78632	-0.049658	0.7886	1	-25.166	0.73714	0.99974	30	-24.186	0.88312	0.99951	13	-9.0279	0.13261	0.48934
"121"	"Herpes simplex virus 1 infection"	59	0.28878	0.021357	0.32333	-0.28878	0.97864	1	-32.73	0.96508	0.99974	34	-25.096	0.84644	0.99951	25	-21.013	0.91615	0.97716
"122"	"Hippo signaling pathway"	34	0.15363	0.1212	0.60692	-0.15363	0.8788	1	-23.648	0.85104	0.99974	16	-15.422	0.58227	0.99951	18	-17.961	0.89426	0.97716
"123"	"Histidine metabolism"	10	0.25549	0.075518	0.57582	-0.25549	0.92448	1	-3.6025	0.0083553	0.19214	6	-2.5936	0.023036	0.35306	4	-2.5196	0.1008	0.48862
"124"	"Homologous recombination"	8	-0.23445	0.81594	1	0.23445	0.18406	0.85067	-8.296	0.29862	0.69	5	-9.3846	0.62339	0.99951	3	-1.4318	0.076951	0.41693
"125"	"Human T-cell leukemia virus 1 infection"	61	0.1049	0.12132	0.60692	-0.1049	0.87868	1	-30.858	0.87406	0.99974	30	-20.638	0.53657	0.99951	31	-22.983	0.91446	0.97716
"126"	"Human cytomegalovirus infection"	77	-0.49468	0.94882	1	0.49468	0.051185	0.52381	-35.231	0.90484	0.99974	36	-31.426	0.99815	0.99951	41	-18.834	0.18027	0.52234
"127"	"Human immunodeficiency virus 1 infection"	80	-0.26675	0.69407	0.95789	0.26675	0.30593	0.99471	-33.479	0.71483	0.99974	43	-30.004	0.96781	0.99951	37	-16.882	0.11387	0.48934
"128"	"Human papillomavirus infection"	110	0.0028076	0.18209	0.75049	-0.0028076	0.81791	1	-43.273	0.9763	0.99974	52	-35.73	0.99708	0.99951	58	-25.762	0.48485	0.75802
"129"	"Huntington disease"	113	-0.42172	0.85022	1	0.42172	0.14978	0.84134	-28.457	0.0016848	0.073408	40	-20.704	0.19626	0.72436	73	-20.08	0.0022292	0.16488
"130"	"Hypertrophic cardiomyopathy (HCM)"	48	0.40862	0.0065314	0.16601	-0.40862	0.99347	1	-20.644	0.12327	0.45793	29	-12.289	0.0071247	0.32181	19	-17.629	0.82069	0.93703
"131"	"IL-17 signaling pathway"	25	0.089234	0.21029	0.78632	-0.089234	0.78971	1	-23.71	0.96974	0.99974	18	-20.693	0.93179	0.99951	7	-11.625	0.80297	0.92746
"132"	"Inflammatory bowel disease (IBD)"	8	0.22071	0.1077	0.60115	-0.22071	0.8923	1	-11.584	0.69482	0.99974	6	-6.6727	0.23301	0.78127	2	-11.61	0.98533	0.99064
"133"	"Inflammatory mediator regulation of TRP channels"	29	-0.017078	0.35623	0.95057	0.017078	0.64377	0.99471	-18.147	0.38187	0.75142	16	-12.813	0.28255	0.78815	13	-12.889	0.54511	0.78295
"134"	"Influenza A"	56	0.26848	0.026888	0.32804	-0.26848	0.97311	1	-26.977	0.56704	0.96081	32	-22.307	0.67781	0.99951	24	-15.45	0.36017	0.64337
"135"	"Inositol phosphate metabolism"	24	-0.071076	0.47304	0.95057	0.071076	0.52696	0.99471	-19.67	0.79442	0.99974	13	-14.968	0.70498	0.99951	11	-12.782	0.67665	0.86197
